page_name,linkText, parent, show_me
search,Search Our Website, home, True
home,Protect America Home Security, None, True
external-comparison, Home Security Comparison, None,True
products,Home Security Packages, None, True
contact-us,Contact Protect America, None, True
local-security, Local Home Security, None,True
package-levels, Levels, products,True
order-package,Order Home Security, home, True
index,Site Map, None, False
clear-my-cookies,Clear my cookies, None, False
sky, Sky, None, False
thank_you,Thank You, None, False
keyword-sitemap-index,Protect America Sitemap, None, False
paid-business-landing-page,Business Security System, business, True
paid-adt-comparison-cat,ADT Comparison, external-comparison, True
frontpoint-vs-pa,FrontPoint Comparison, external-comparison, True
paid-diy-landing-page,DIY Home Security, None, True
crime-prevention-month,National Crime Prevention, None, True
wireless-landing-page,Wireless Home Security, None, True
adt-two,Protect America vs ADT, external-comparison, True
direct-mail,Home Security Direct, None, True
cf-la,Home Security Los Angeles, local-security, True
cf-chicago,Home Security Chicago, local-security, True
cf-cleveland,Home Security Cleveland, local-security, True
cf-miami,Home Security Miami, local-security, True
payitforward,Pay It Forward Challenge, None, True
payitforward-point-tracking,Pay It Forward Competition, None, False
about-us,About Protect America, None, True
family,Family of Companies, home, True
testimonials,Protect America Testimonials, None, True
video-testimonials,Protect America Reviews, testimonials, True
send-testimonial,Review Protect America, testimonials, True
tell-a-friend,Share Protect America Home Security, testimonials, True
complete-home-security,Custom Home Security, None, True
contact-us,Contact Protect America, None, True
affiliate-program,Home Security Affiliate Program, None, True
feedback-ceo,Protect America Feedback, contact-us, True
help,Home Security Help, None, True
do-not-call,Protect America Do Not Call List, contact-us, True
support,Protect America Customer Support, None, True
moving-kit,Free Home Security Moving Kit, home, True
package-code,Find a Package, contact-us, True
aff,Protect America Affiliate Resources, affiliate-program, True
comments-comment-done, Comments comment done, None,FALSE
